from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246092724610003+1544263+0,246095524609583+1543379+0,1,
33,33,,,246088924609105+1544291+0,246088924608895+1543412+0,1,
33,33,,,246089224609093+1544292+0,246089224609163+1543413+0,1,
33,33,,,246092124609233+1544293+0,246092124609233+1543413+0,1,
33,33,,,246092124609234+1544293+0,246092124609234+1543413+0,1,
33,33,,,246092724610003+1544293+0,246092724610003+1543413+0,1,
33,33,,,246092824609303+1544160+1,246092824609303+1543269+1,1,
33,33,,,246092824609304+1544160+1,246092824609304+1543269+1,1,
33,33,,,246096224610004+1544166+1,246094824610004+1543270+1,1,
33,33,,,246089224608951+1544167+1,246089224608951+1543267+1,1,
33,33,,,246090624609082+1544169+1,246090624609082+1543270+1,1,
33,33,,,246092124609232+1544169+1,246092124609232+1543270+1,1,
33,33,,,246092724609271+1544169+1,246092724609271+1543270+1,1,
33,33,,,246094124609411+1544169+1,246094124609411+1543270+1,1,
33,33,,,246090924609094+1544170+1,246090924609094+1543269+1,1,
33,33,,,246094224609443+1544170+1,246094224609443+1543269+1,1,
33,33,,,246094824610004+1544171+1,246094824610004+1543270+1,1,
33,33,,,246088924609105+1544181+1,246088924609105+1543275+1,1,
33,33,,,246089224609094+1544182+1,246090224609024+1543276+1,1,
33,33,,,246092124609232+1544183+1,246092124609232+1543278+1,1,
33,33,,,246092724610002+1544187+1,246094224609442+1543279+1,1,
33,33,,,246092724610001+1544187+1,246094824609511+1543278+1,1,
33,33,,,246092724610002+1544187+1,246094824609512+1543278+1,1,
33,33,,,246089224608954+1544203+1,246089224608954+1543324+1,1,
33,33,,,246089924609011+1544317+0,246089224609161+1543461+0,1,
33,33,,,246090624609093+1544318+0,246089224609163+1543461+0,1,
33,33,,,246094524609525+1544324+0,246094524609525+1543464+0,1,
33,33,,,246089224609093+1544345+0,246089224608953+1543497+0,1,
33,33,,,246089224609094+1544345+0,246090924609094+1543498+0,1,
33,33,,,246090324609035+1544651+0,246090324609035+1543684+0,1,
33,33,,,246089224608951+1544652+0,246089224608951+1543685+0,1,
33,33,,,246089924609011+1544655+0,246089924609011+1543687+0,1,
33,33,,,246094124609411+1544656+0,246094124609411+1543685+0,1,
